Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2014-04-04,51.92,50.51725,55.2552,54.8765,53.394,buy,sell,sell
2014-04-07,50.85,50.5484,55.166,54.6,52.772,buy,sell,sell
2014-04-08,50.65,50.57725,55.0978,54.2925,52.166,buy,sell,sell
2014-04-09,51.88,50.6138,55.0306,54.0605,51.81,buy,sell,sell
2014-04-10,50.39,50.64015,54.9528,53.82,51.138,hold,sell,sell
2014-04-11,49.16,50.65765,54.8316,53.5185,50.586,hold,sell,sell
2014-04-14,50.25,50.6786,54.7594,53.234,50.466,hold,sell,sell
2014-04-15,51.01,50.7052,54.7122,52.9545,50.538,buy,sell,sell
2014-04-16,52.34,50.7354,54.6862,52.7735,50.63,buy,sell,sell
2014-04-17,51.99,50.7638,54.648,52.6,50.95,buy,sell,sell
2014-04-21,52.28,50.7914,54.5986,52.422,51.574,buy,sell,sell
2014-04-22,52.49,50.81535,54.5396,52.287,52.022,buy,sell,hold
2014-04-23,52.2,50.84125,54.4808,52.167,52.26,buy,sell,buy
2014-04-24,52.35,50.869,54.4162,52.0885,52.262,buy,sell,buy
2014-04-25,49.73,50.88425,54.29,51.878,51.81,hold,sell,sell
2014-04-28,50.36,50.8986,54.177,51.745,51.426,hold,sell,sell
2014-04-29,50.67,50.91355,54.0604,51.5805,51.062,hold,sell,sell
2014-04-30,50.65,50.929,53.943,51.429,50.752,hold,sell,sell
2014-05-01,51.52,50.9499,53.854,51.322,50.586,buy,sell,hold
2014-05-02,51.1,50.96835,53.7588,51.1895,50.86,buy,sell,sell
2014-05-05,51.78,50.9885,53.6776,51.1825,51.144,buy,sell,hold
2014-05-06,51.34,51.0078,53.5734,51.207,51.278,buy,sell,buy
2014-05-07,52.18,51.0297,53.4814,51.2835,51.584,buy,sell,buy
2014-05-08,52.72,51.0576,53.4052,51.3255,51.824,buy,sell,buy
2014-05-09,52.7,51.08765,53.3278,51.441,52.144,buy,sell,buy
2014-05-12,52.92,51.109,53.2566,51.629,52.372,buy,sell,buy
2014-05-13,53.02,51.1326,53.2098,51.7675,52.708,buy,sell,buy
2014-05-14,52.46,51.15495,53.1314,51.84,52.764,buy,sell,buy
2014-05-15,51.86,51.17495,53.0546,51.816,52.592,buy,sell,buy
2014-05-16,52.45,51.21595,52.9844,51.839,52.542,buy,sell,buy
2014-05-19,52.59,51.25495,52.9084,51.8545,52.476,buy,sell,buy
2014-05-20,51.98,51.28485,52.8204,51.829,52.268,buy,sell,buy
2014-05-21,52.52,51.31675,52.7348,51.845,52.28,buy,sell,buy
2014-05-22,52.34,51.34985,52.6512,51.8445,52.376,buy,sell,buy
2014-05-23,53.02,51.3882,52.6076,52.009,52.49,buy,hold,buy
2014-05-27,53.62,51.4303,52.5762,52.172,52.696,buy,hold,buy
2014-05-28,53.45,51.4728,52.5264,52.311,52.99,buy,hold,buy
2014-05-29,53.67,51.51645,52.4678,52.462,53.22,buy,hold,buy
2014-05-30,53.71,51.56095,52.4228,52.5715,53.494,buy,buy,buy
2014-06-02,53.38,51.6049,52.3812,52.6855,53.566,buy,buy,buy
2014-06-03,52.83,51.65165,52.321,52.738,53.408,buy,buy,buy
2014-06-04,52.86,51.69955,52.2744,52.814,53.29,buy,buy,buy
2014-06-05,53.06,51.74615,52.2436,52.858,53.168,buy,buy,buy
2014-06-06,53.25,51.7959,52.2302,52.8845,53.076,buy,buy,buy
2014-06-09,53.14,51.8386,52.2142,52.9065,53.028,buy,buy,buy
2014-06-10,53.56,51.88275,52.225,52.9385,53.174,buy,buy,buy
2014-06-11,53.17,51.9247,52.2092,52.946,53.236,buy,buy,buy
2014-06-12,52.94,51.97065,52.1944,52.97,53.212,buy,buy,hold
2014-06-13,52.82,52.01705,52.1776,53.018,53.126,buy,buy,hold
2014-06-16,52.56,52.06085,52.1538,53.0235,53.01,buy,buy,sell
2014-06-17,52.7,52.10515,52.1694,53.029,52.838,buy,buy,sell
2014-06-18,52.81,52.1512,52.2086,53.0705,52.766,buy,buy,sell
2014-06-19,52.58,52.1928,52.2472,53.0735,52.694,buy,buy,sell
2014-06-20,52.37,52.2344,52.257,53.075,52.604,buy,buy,sell
2014-06-23,52.37,52.276,52.2966,53.0425,52.566,buy,buy,sell
2014-06-24,51.95,52.3149,52.3524,52.959,52.416,hold,hold,sell
2014-06-25,52.26,52.353,52.3926,52.8995,52.306,hold,hold,sell
2014-06-26,52.24,52.38345,52.4172,52.828,52.238,hold,hold,sell
2014-06-27,52.32,52.41215,52.4168,52.7585,52.228,hold,hold,sell
2014-06-30,52.68,52.44425,52.4306,52.7235,52.29,hold,buy,sell
2014-07-01,53.56,52.4758,52.4562,52.76,52.612,hold,buy,hold
2014-07-02,53.71,52.50765,52.4806,52.8025,52.902,hold,buy,buy
2014-07-03,54.13,52.5388,52.5192,52.856,53.28,hold,buy,buy
2014-07-07,54.18,52.56765,52.5558,52.9025,53.652,hold,buy,buy
2014-07-08,53.82,52.59335,52.6376,52.9365,53.88,buy,buy,buy
2014-07-09,54.04,52.615,52.7112,52.9605,53.976,buy,buy,buy
2014-07-10,53.88,52.6391,52.7754,52.996,54.01,buy,buy,buy
2014-07-11,54.25,52.66865,52.8474,53.0615,54.034,buy,buy,buy
2014-07-14,55.26,52.7055,52.9222,53.1835,54.25,buy,buy,buy
2014-07-15,55.44,52.74075,53.009,53.3275,54.574,buy,buy,buy
2014-07-16,55.67,52.7778,53.0868,53.476,54.9,buy,buy,buy
2014-07-17,54.47,52.81125,53.1494,53.559,55.018,buy,buy,buy
2014-07-18,55.05,52.845,53.2068,53.6825,55.178,buy,buy,buy
2014-07-21,54.8,52.8792,53.2484,53.804,55.086,buy,buy,buy
2014-07-22,55.32,52.92,53.3008,53.9515,55.062,buy,buy,buy
2014-07-23,55.3,52.9584,53.3484,54.119,54.988,buy,buy,buy
2014-07-24,55.68,53.0039,53.4016,54.29,55.23,buy,buy,buy
2014-07-25,53.69,53.0442,53.4262,54.3625,54.958,buy,buy,hold
2014-07-28,53.56,53.0822,53.4602,54.4245,54.71,buy,buy,hold
2014-07-29,53.38,53.1128,53.4788,54.4595,54.322,buy,hold,sell
2014-07-30,53.52,53.1404,53.4974,54.4575,53.966,buy,buy,sell
2014-07-31,52.75,53.16235,53.5128,54.4095,53.38,hold,hold,sell
2014-08-01,52.95,53.1879,53.5214,54.3505,53.232,hold,hold,sell
2014-08-04,53.04,53.20855,53.5354,54.2935,53.128,hold,hold,sell
2014-08-05,52.64,53.2239,53.5278,54.2345,52.98,hold,hold,sell
2014-08-06,52.67,53.2367,53.5088,54.166,52.81,hold,hold,sell
2014-08-07,52.26,53.24795,53.485,54.085,52.712,hold,hold,sell
2014-08-08,52.62,53.26105,53.464,54.0035,52.646,hold,hold,sell
2014-08-11,52.64,53.27565,53.4426,53.8725,52.566,hold,hold,sell
2014-08-12,52.58,53.2849,53.4266,53.7295,52.554,hold,hold,sell
2014-08-13,52.86,53.2954,53.4272,53.589,52.592,hold,hold,sell
2014-08-14,53.13,53.3072,53.4326,53.522,52.766,hold,hold,sell
2014-08-15,52.55,53.31465,53.4224,53.397,52.752,hold,sell,sell
2014-08-18,53.58,53.32775,53.429,53.336,52.94,buy,hold,hold
2014-08-19,53.75,53.35065,53.4412,53.2575,53.174,buy,hold,hold
2014-08-20,54.05,53.37195,53.451,53.195,53.412,buy,hold,buy
2014-08-21,53.94,53.39615,53.4664,53.108,53.574,buy,hold,buy
2014-08-22,54.02,53.41955,53.488,53.1245,53.868,buy,hold,buy
2014-08-25,54.0,53.44075,53.5116,53.1465,53.952,buy,hold,buy
2014-08-26,54.18,53.46655,53.544,53.1865,54.038,buy,hold,buy
2014-08-27,54.28,53.4901,53.5756,53.2245,54.084,buy,hold,buy
2014-08-28,53.65,53.50925,53.5924,53.2695,54.026,buy,hold,buy
2014-08-29,53.13,53.52705,53.6034,53.2785,53.848,hold,sell,hold
2014-09-02,53.68,53.54575,53.6296,53.3105,53.784,buy,hold,buy
2014-09-03,53.72,53.56415,53.6566,53.3645,53.692,buy,hold,buy
2014-09-04,53.56,53.57945,53.6888,53.409,53.548,hold,sell,buy
2014-09-05,53.55,53.5973,53.7146,53.4735,53.528,hold,sell,buy
2014-09-08,53.94,53.62025,53.7486,53.5395,53.69,buy,hold,buy
2014-09-09,53.57,53.64045,53.7736,53.586,53.668,hold,sell,hold
2014-09-10,54.22,53.65955,53.8044,53.668,53.768,buy,hold,buy
2014-09-11,53.74,53.6756,53.808,53.712,53.804,buy,sell,buy
2014-09-12,53.51,53.69075,53.804,53.731,53.796,hold,sell,hold
2014-09-15,53.66,53.70465,53.7946,53.7865,53.74,hold,sell,sell
