Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2015-11-12,204.84,206.4878,200.6744,207.2305,207.838,sell,buy,hold
2015-11-13,202.54,206.50325,200.8122,207.194,206.338,sell,buy,sell
2015-11-16,205.62,206.52175,201.0734,207.309,205.846,sell,buy,sell
2015-11-17,205.47,206.5249,201.2336,207.427,205.228,sell,buy,sell
2015-11-18,208.73,206.54825,201.5124,207.771,205.44,hold,buy,hold
2015-11-19,208.55,206.5604,201.7664,207.9355,206.182,hold,buy,hold
2015-11-20,209.31,206.5792,202.0164,208.0255,207.536,hold,buy,hold
2015-11-23,209.07,206.6014,202.2776,208.1295,208.226,hold,buy,buy
2015-11-24,209.35,206.6141,202.4954,208.2685,209.002,hold,buy,buy
2015-11-25,209.32,206.62605,202.6782,208.2875,209.12,hold,buy,buy
2015-11-27,209.56,206.62925,202.8748,208.324,209.322,hold,buy,buy
2015-11-30,208.69,206.6238,203.1414,208.362,209.198,hold,buy,buy
2015-12-01,210.68,206.62665,203.4258,208.3795,209.52,hold,buy,buy
2015-12-02,208.53,206.61865,203.7184,208.256,209.356,hold,buy,buy
2015-12-03,205.61,206.5968,203.9586,208.0185,208.614,sell,buy,hold
2015-12-04,209.62,206.5887,204.2924,207.992,208.626,hold,buy,buy
2015-12-07,208.35,206.5744,204.6022,207.9075,208.558,hold,buy,buy
2015-12-08,206.95,206.5501,204.981,207.851,207.812,hold,buy,sell
2015-12-09,205.34,206.51865,205.3254,207.69,207.174,sell,buy,sell
2015-12-10,205.87,206.4911,205.6102,207.6,207.226,sell,buy,sell
2015-12-11,201.88,206.4472,205.8046,207.452,205.678,sell,hold,sell
2015-12-14,202.9,206.40175,205.9626,207.47,204.588,sell,hold,sell
2015-12-15,205.03,206.3713,206.0938,207.4405,204.204,sell,hold,sell
2015-12-16,208.03,206.3603,206.2982,207.5685,204.742,hold,buy,hold
2015-12-17,204.86,206.3323,206.4072,207.375,204.54,hold,hold,sell
2015-12-18,200.02,206.2949,206.3834,206.9485,204.168,hold,hold,sell
2015-12-21,201.67,206.26145,206.3902,206.5665,203.922,hold,hold,sell
2015-12-22,203.5,206.25405,206.4298,206.288,203.616,hold,sell,sell
2015-12-23,206.02,206.26165,206.5452,206.1215,203.214,hold,sell,sell
2015-12-24,205.68,206.25455,206.673,205.9395,203.378,hold,sell,sell
2015-12-28,205.21,206.25145,206.7314,205.722,204.416,hold,sell,sell
2015-12-29,207.4,206.24555,206.814,205.6575,205.562,buy,hold,hold
2015-12-30,205.93,206.2354,206.8662,205.42,206.048,hold,sell,buy
2015-12-31,203.87,206.20245,206.8814,205.187,205.618,hold,sell,hold
2016-01-04,201.02,206.16005,206.8648,204.9575,204.686,hold,sell,sell
2016-01-05,201.36,206.1148,206.7868,204.5445,203.916,hold,sell,sell
