Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2015-04-27,566.12,557.4433,555.7168,549.022,557.868,hold,hold,buy
2015-04-28,564.37,557.3319,555.981,549.1835,562.158,hold,hold,buy
2015-04-29,561.39,557.16755,556.3086,549.518,564.6,hold,hold,buy
2015-04-30,548.77,556.9461,556.431,549.482,562.862,sell,sell,hold
2015-05-01,551.16,556.7488,556.5252,549.9745,558.362,sell,sell,buy
2015-05-04,552.84,556.6089,556.746,550.419,555.706,hold,sell,buy
2015-05-05,543.04,556.29855,556.9068,550.328,551.44,hold,sell,hold
2015-05-06,535.08,555.98175,556.8354,549.64,546.178,hold,sell,sell
2015-05-07,542.04,555.6741,556.7296,549.341,544.832,hold,sell,sell
2015-05-08,548.95,555.3929,556.5228,549.3615,544.39,hold,sell,sell
2015-05-11,545.78,555.10675,556.1858,549.2185,542.978,hold,sell,sell
2015-05-12,538.73,554.81,555.46,549.166,542.116,hold,sell,sell
2015-05-13,539.49,554.51235,554.6738,549.0885,542.998,hold,sell,sell
2015-05-14,549.2,554.2886,554.0912,549.3725,544.43,sell,sell,sell
2015-05-15,546.49,554.04385,553.3922,550.06,543.938,sell,sell,sell
2015-05-18,546.67,553.87945,552.8676,550.167,544.116,sell,sell,sell
2015-05-19,549.28,553.75785,552.3712,550.485,546.226,sell,sell,sell
2015-05-20,552.51,553.60905,552.2244,550.6515,548.83,sell,hold,hold
2015-05-21,556.81,553.5274,552.2468,550.619,550.352,hold,hold,hold
2015-05-22,554.52,553.42755,552.1138,549.662,551.958,hold,hold,buy
2015-05-26,547.19,553.30445,551.9976,548.7155,552.062,sell,sell,hold
2015-05-27,554.25,553.186,551.8498,548.2095,553.056,hold,hold,buy
2015-05-28,554.18,553.07065,551.7812,547.849,553.39,hold,hold,buy
2015-05-29,545.32,552.93665,551.3644,547.6765,551.092,sell,sell,hold
2015-06-01,549.21,552.7599,551.0752,547.579,550.03,sell,sell,buy
2015-06-02,553.95,552.6064,550.8552,547.6345,551.382,hold,hold,buy
2015-06-03,555.29,552.4643,550.6536,548.247,551.59,hold,hold,buy
2015-06-04,551.69,552.25925,550.1366,549.0775,551.092,sell,hold,buy
2015-06-05,549.53,552.02135,549.7872,549.452,551.934,sell,sell,buy
2015-06-08,543.48,551.7617,549.384,549.1785,550.788,sell,sell,hold
2015-06-09,542.16,551.5104,549.0762,548.9975,548.43,sell,sell,sell
2015-06-10,552.6,551.3107,548.9054,549.691,547.892,hold,buy,hold
2015-06-11,550.04,551.10805,548.8122,550.2185,547.562,sell,buy,sell
2015-06-12,547.47,550.9048,548.7718,550.132,547.15,sell,hold,sell
2015-06-15,543.0,550.7048,548.8056,549.9575,547.054,sell,hold,sell
2015-06-16,544.87,550.52755,548.824,549.8675,547.596,sell,hold,sell
2015-06-17,546.6,550.34875,548.8588,549.7335,546.396,sell,hold,sell
