Date,SPY,TSLA,BABA,AMZN
2015-07-08,204.53,254.96,77.94,429.7
2015-07-09,204.9,257.92,79.04,434.39
2015-07-10,207.48,259.15,80.3,443.51
2015-07-13,209.77,262.16,81.86,455.57
2015-07-14,210.68,265.65,81.5,465.57
2015-07-15,210.61,263.14,80.73,461.19
2015-07-16,212.3,266.68,81.53,475.48
2015-07-17,212.48,274.66,83.36,483.01
2015-07-20,212.59,282.26,82.67,488.1
2015-07-21,211.75,266.77,82.54,488.0
2015-07-22,211.37,267.87,84.15,488.27
2015-07-23,210.18,267.2,83.88,482.18
2015-07-24,208.0,265.41,83.02,529.42
2015-07-27,206.79,253.01,81.4,531.41
2015-07-28,209.33,264.82,80.56,526.03
2015-07-29,210.77,263.82,80.26,529.0
2015-07-30,210.82,266.79,79.96,536.76
2015-07-31,210.5,266.15,78.34,536.15
2015-08-03,209.79,259.99,77.99,535.03
2015-08-04,209.38,266.28,78.87,531.9
2015-08-05,210.07,270.13,79.82,537.01
2015-08-06,208.35,246.13,78.96,529.46
2015-08-07,207.95,242.51,78.82,522.62
2015-08-10,210.57,241.14,80.47,524.0
2015-08-11,208.67,237.37,77.34,527.46
2015-08-12,208.92,238.17,73.38,525.91
2015-08-13,208.66,242.51,75.11,529.66
2015-08-14,209.42,243.15,74.76,531.52
2015-08-17,210.59,254.99,75.19,535.22
2015-08-18,209.98,260.72,73.88,535.02
2015-08-19,208.32,255.25,73.12,532.92
2015-08-20,204.01,242.18,70.32,515.78
2015-08-21,197.63,230.77,68.18,494.47
2015-08-24,189.55,218.87,65.8,463.37
2015-08-25,187.23,220.03,68.57,466.37
2015-08-26,194.68,224.84,68.66,500.77
2015-08-27,199.16,242.99,70.84,518.37
2015-08-28,199.24,248.48,70.07,518.01
2015-08-31,197.54,249.06,66.12,512.89
2015-09-01,191.92,238.63,64.83,496.54
2015-09-02,195.36,247.69,65.54,510.55
2015-09-03,195.65,245.57,66.47,504.72
2015-09-04,192.56,241.93,63.91,499.0
2015-09-08,197.46,248.17,60.91,517.54
2015-09-09,194.79,248.91,64.04,516.89
2015-09-10,195.85,248.48,63.83,522.24
2015-09-11,196.81,250.24,64.63,529.44
2015-09-14,196.01,253.19,62.6,521.38
2015-09-15,198.46,253.57,64.85,522.37
2015-09-16,200.18,262.25,67.23,527.39
2015-09-17,199.73,262.07,66.0,538.87
2015-09-18,195.36,260.62,65.75,540.26
2015-09-21,196.46,264.2,63.9,548.39
2015-09-22,193.9,260.94,61.9,538.4
2015-09-23,193.6,261.06,60.0,536.07
2015-09-24,192.93,263.12,59.92,533.75
2015-09-25,192.86,256.91,59.24,524.25
2015-09-28,188.01,248.43,57.39,504.06
2015-09-29,188.12,246.65,57.82,496.07
2015-09-30,191.63,248.4,58.97,511.89
2015-10-01,192.16,239.88,58.87,520.72
2015-10-02,195.0,247.57,63.2,532.54
2015-10-05,198.47,246.15,63.93,543.68
2015-10-06,197.81,241.46,63.92,537.48
2015-10-07,199.41,231.96,66.28,541.94
2015-10-08,201.21,226.72,67.7,533.16
2015-10-09,201.33,220.69,68.71,539.8
2015-10-12,201.52,215.58,70.3,550.19
2015-10-13,200.25,219.25,69.68,548.9
2015-10-14,199.29,216.88,68.54,544.83
2015-10-15,202.29,221.31,71.78,562.44
2015-10-16,203.27,227.01,71.99,570.76
2015-10-19,203.32,228.1,72.65,573.15
2015-10-20,203.11,213.03,71.79,560.88
2015-10-21,201.85,210.09,69.48,555.77
2015-10-22,205.26,211.72,70.99,563.91
2015-10-23,207.51,209.09,75.62,599.03
2015-10-26,206.99,215.26,76.35,608.61
2015-10-27,206.57,210.35,79.44,611.01
2015-10-28,208.94,212.96,82.35,617.1
2015-10-29,208.83,211.63,82.22,626.55
2015-10-30,207.93,206.93,83.83,625.9
2015-11-02,210.33,213.79,84.35,628.35
2015-11-03,211.0,208.35,83.44,625.31
2015-11-04,210.36,231.63,85.4,640.95
2015-11-05,210.15,231.77,85.38,655.65
2015-11-06,210.04,232.36,83.61,659.37
2015-11-09,208.08,225.33,81.38,655.49
2015-11-10,208.56,216.5,81.43,659.68
2015-11-11,207.67,219.08,79.85,673.25
2015-11-12,204.84,212.94,78.76,665.6
2015-11-13,202.54,207.19,75.85,642.35
2015-11-16,205.62,214.31,78.3,647.81
2015-11-17,205.47,214.0,78.13,643.3
2015-11-18,208.73,221.07,77.69,663.54
2015-11-19,208.55,221.8,77.87,661.27
2015-11-20,209.31,220.01,79.95,668.45
