Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2014-10-16,17.45,18.19725,18.7874,18.1155,17.138,hold,sell,sell
2014-10-17,17.42,18.20505,18.7866,18.0325,17.254,hold,sell,sell
2014-10-20,17.57,18.21455,18.758,17.9665,17.412,hold,sell,sell
2014-10-21,18.32,18.22675,18.7464,17.942,17.64,buy,sell,hold
2014-10-22,17.89,18.2355,18.7262,17.8905,17.73,hold,sell,sell
2014-10-23,18.28,18.2451,18.7116,17.879,17.896,buy,sell,buy
2014-10-24,18.48,18.25875,18.7052,17.876,18.108,buy,sell,buy
2014-10-27,18.49,18.27255,18.6942,17.8745,18.292,buy,sell,buy
2014-10-28,18.93,18.2904,18.6868,17.8985,18.414,buy,hold,buy
2014-10-29,18.8,18.3052,18.6754,17.925,18.596,buy,hold,buy
2014-10-30,18.69,18.3186,18.6642,17.95,18.678,buy,hold,buy
2014-10-31,19.54,18.336,18.6736,18.0155,18.89,buy,hold,buy
2014-11-03,19.87,18.3554,18.6894,18.103,19.166,buy,hold,buy
2014-11-04,20.13,18.3758,18.7098,18.2135,19.406,buy,hold,buy
2014-11-05,20.13,18.3963,18.7232,18.307,19.672,buy,hold,buy
2014-11-06,20.22,18.41755,18.743,18.4225,19.978,buy,hold,buy
2014-11-07,19.79,18.4387,18.751,18.57,20.028,buy,hold,buy
2014-11-10,20.02,18.4615,18.7624,18.732,20.058,buy,hold,buy
2014-11-11,19.78,18.48235,18.768,18.862,19.988,buy,buy,buy
2014-11-12,19.64,18.50325,18.7672,18.972,19.89,buy,buy,buy
2014-11-13,19.55,18.5224,18.7576,19.077,19.756,buy,buy,buy
2014-11-14,19.78,18.5428,18.7538,19.195,19.754,buy,buy,buy
2014-11-17,19.7,18.56385,18.752,19.3015,19.69,buy,buy,buy
2014-11-18,20.17,18.5868,18.7646,19.394,19.768,buy,buy,buy
2014-11-19,20.01,18.60965,18.7726,19.5,19.842,buy,buy,buy
2014-11-20,20.34,18.63315,18.7912,19.603,20.0,buy,buy,buy
2014-11-21,20.46,18.6561,18.818,19.702,20.136,buy,buy,buy
2014-11-24,20.58,18.6794,18.8524,19.8065,20.312,buy,buy,buy
2014-11-25,20.57,18.701,18.881,19.8885,20.392,buy,buy,buy
2014-11-26,20.92,18.72145,18.9164,19.9945,20.574,buy,buy,buy
2014-11-28,20.97,18.7395,18.947,20.1085,20.7,buy,buy,buy
2014-12-01,20.58,18.75285,18.977,20.1605,20.724,buy,buy,buy
