,open,high,low,close,adjusted close,volume
2018-04-12,47.51,48.67,47.2,48.56,48.56,817685
2018-04-13,48.94,49.14,48.0,48.85,48.85,1543628
2018-04-16,49.08,49.34,48.26,48.64,48.64,750155
2018-04-17,49.14,50.79,48.96,50.46,50.46,953319
2018-04-18,50.85,50.91,49.9,50.38,50.38,1155189
2018-04-19,50.16,50.83,50.04,50.48,50.48,653317
2018-04-20,49.67,49.9952,48.24,48.46,48.46,1909739
2018-04-23,48.62,49.71,48.37,48.71,48.71,1280014
2018-04-24,49.21,49.5,46.62,47.04,47.04,1595482
2018-04-25,47.07,47.26,45.6,46.91,46.91,1412954
2018-04-26,47.59,49.18,47.29,48.66,48.66,1015161
2018-04-27,49.05,49.22,47.82,48.47,48.47,1109049
2018-04-30,48.53,49.73,48.24,48.75,48.75,1102632
2018-05-01,48.54,49.07,48.02,48.58,48.58,2341241
2018-05-02,51.55,53.26,50.05,52.12,52.12,3909604
2018-05-03,52.0,52.5027,50.56,52.08,52.08,1520837
2018-05-04,52.17,54.25,51.51,53.65,53.65,2345021
2018-05-07,53.84,54.53,53.67,54.03,54.03,1532786
2018-05-08,53.79,55.56,53.75,54.18,54.18,1143520
2018-05-09,54.02,56.16,54.02,55.62,55.62,1226790
2018-05-10,55.75,57.16,55.69,56.91,56.91,898582
2018-05-11,57.07,57.31,55.8999,56.03,56.03,1466536
2018-05-14,56.4,56.8472,54.32,55.0,55.0,1605798
2018-05-15,54.11,55.06,53.32,54.89,54.89,1532122
2018-05-16,55.0,55.5,54.21,55.1,55.1,1044162
2018-05-17,55.07,56.12,54.6,55.11,55.11,974031
2018-05-18,55.4,57.03,55.36,56.34,56.34,1010983
2018-05-21,57.0,57.21,55.41,55.77,55.77,702654
2018-05-22,56.0,56.09,54.9,54.94,54.94,604990
2018-05-23,54.14,55.72,53.84,55.71,55.71,1017967
2018-05-24,55.83,56.63,55.41,56.39,56.39,1004923
2018-05-25,56.49,56.83,55.89,56.33,56.33,311260
2018-05-29,56.02,56.919,55.7401,56.3,56.3,588220
2018-05-30,56.7,57.24,56.02,56.13,56.13,1139076
2018-05-31,56.2,56.98,55.7,55.89,55.89,874475
2018-06-01,56.3,56.915,55.95,56.84,56.84,1151324
2018-06-04,57.25,58.0,56.22,56.88,56.88,978718
2018-06-05,57.0,57.65,56.54,56.99,56.99,969482
2018-06-06,57.25,58.4,56.98,57.96,57.96,1191347
2018-06-07,58.07,58.22,53.93,55.13,55.13,2069569
2018-06-08,54.99,56.81,54.42,56.74,56.74,970376
2018-06-11,56.75,57.29,56.37,56.89,56.89,867598
2018-06-12,57.04,58.33,57.04,58.26,58.26,1174826
2018-06-13,58.46,59.51,58.41,58.81,58.81,1247495
2018-06-14,58.99,60.26,58.98,59.43,59.43,1453761
2018-06-15,59.08,59.51,57.9,58.91,58.91,1292449
2018-06-18,58.37,59.07,58.3,58.83,58.83,1953797
2018-06-19,58.13,58.65,56.25,58.05,58.05,1542486
2018-06-20,58.2,59.891999999999996,57.63,59.05,59.05,1484887
2018-06-21,59.28,59.28,57.137,57.46,57.46,1681681
2018-06-22,57.36,57.49,54.2,54.76,54.76,11134848
2018-06-25,54.76,54.76,51.72,53.05,53.05,2258126
2018-06-26,53.49,54.94,53.11,54.46,54.46,1843198
2018-06-27,54.79,55.4,52.52,52.54,52.54,2317609
2018-06-28,52.56,54.87,52.21,54.79,54.79,1742872
2018-06-29,55.0,55.449,54.106,54.49,54.49,2142567
2018-07-02,54.22,56.3,53.85,56.3,56.3,879034
2018-07-03,56.42,56.68,55.45,56.08,56.08,800319
2018-07-05,56.5,56.85,56.03,56.41,56.41,2089874
2018-07-06,56.68,58.02,55.93,57.66,57.66,976295
2018-07-09,57.91,58.74,56.88,57.67,57.67,1086966
2018-07-10,57.57,58.24,57.33,57.39,57.39,1565301
2018-07-11,56.7,58.38,56.7,58.03,58.03,845393
2018-07-12,58.18,59.64,58.18,59.57,59.57,988903
2018-07-13,59.86,60.44,58.47,59.68,59.68,1127840
2018-07-16,59.64,60.26,59.11,59.41,59.41,1169159
2018-07-17,58.91,60.54,58.59,60.3,60.3,1082710
2018-07-18,60.33,60.6902,59.48,60.45,60.45,702150
2018-07-19,60.16,60.7,60.09,60.35,60.35,701577
2018-07-20,60.19,60.83,60.13,60.58,60.58,718048
2018-07-23,60.5,61.33,59.83,61.11,61.11,1219604
2018-07-24,61.83,61.83,58.38,59.07,59.07,1190742
2018-07-25,58.91,61.22,58.835,60.62,60.62,1110544
2018-07-26,60.26,60.84,58.96,60.4,60.4,1159877
2018-07-27,60.87,60.94,57.11,58.05,58.05,1454117
2018-07-30,57.92,58.18,54.62,55.54,55.54,2017969
2018-07-31,55.51,56.28,53.2501,54.47,54.47,3857641
2018-08-01,61.36,62.3,59.8735,61.04,61.04,4750075
2018-08-02,60.85,63.09,60.57,63.01,63.01,1743969
2018-08-03,63.0,63.0,59.86,61.07,61.07,1547976
2018-08-06,60.52,63.19,60.45,62.97,62.97,1076764
2018-08-07,63.09,63.92,62.18,62.9,62.9,802296
2018-08-08,63.11,63.44,62.3,62.96,62.96,528962
2018-08-09,62.85,64.31,62.69,62.96,62.96,1096107
2018-08-10,62.39,63.23,62.0,62.9,62.9,1759619
2018-08-13,62.82,64.125,62.53,62.84,62.84,969509
2018-08-14,63.16,63.905,62.17,63.78,63.78,420123
2018-08-15,63.04,63.67,60.8003,61.97,61.97,1752720
2018-08-16,62.77,62.81,61.09,62.2,62.2,1523293
2018-08-17,62.1,62.15,60.85,61.71,61.71,911454
2018-08-20,61.56,62.12,60.91,61.7,61.7,864321
2018-08-21,61.92,63.05,61.68,61.83,61.83,681210
2018-08-22,61.38,63.45,61.25,63.4,63.4,972642
2018-08-23,63.8,65.1,63.645,64.59,64.59,967024
2018-08-24,65.18,66.87,65.05,66.76,66.76,1616677
2018-08-27,67.37,67.78,66.33,67.01,67.01,1244900
2018-08-28,67.42,67.96,66.77,67.31,67.31,668981
2018-08-29,67.56,69.44,67.545,69.23,69.23,1387912
2018-08-30,68.97,69.98,68.62,69.4,69.4,908004
2018-08-31,69.0,69.63,68.37,68.89,68.89,1584699
2018-09-04,68.84,69.76,67.9,69.68,69.68,894950
2018-09-05,69.7,69.7,66.38,67.98,67.98,1763282
2018-09-06,68.0,68.625,67.36,67.94,67.94,1068168
2018-09-07,67.41,69.63,66.94,69.06,69.06,730663
2018-09-10,69.24,70.115,68.758,69.95,69.95,812215
2018-09-11,70.41,71.76,69.95,70.66,70.66,1036987
2018-09-12,70.34,71.17,69.1301,70.67,70.67,780704
2018-09-13,70.71,71.81,70.29,70.55,70.55,1207830
2018-09-14,70.58,72.23,70.3,71.94,71.94,1180569
2018-09-17,71.54,72.18,67.44,67.69,67.69,1726545
2018-09-18,67.98,69.98,67.92,68.51,68.51,2076158
2018-09-19,68.46,69.12,66.54,67.23,67.23,1060564
2018-09-20,67.2,68.24,66.35,67.97,67.97,729285
2018-09-21,68.29,68.89,67.11,67.31,67.31,958158
2018-09-24,66.75,68.78,65.89,68.55,68.55,1029690
2018-09-25,68.87,72.05,68.56,71.37,71.37,1918531
2018-09-26,71.64,71.88,70.22,71.16,71.16,1235534
2018-09-27,71.17,72.06,70.14,70.81,70.81,874386
2018-09-28,70.25,71.82,70.25,71.0,71.0,1021642
2018-10-01,71.43,72.76,69.09,69.2,69.2,907548
2018-10-02,69.71,70.01,67.17,67.64,67.64,1456267
2018-10-03,67.96,68.89,67.06,67.88,67.88,1126314
2018-10-04,67.68,67.99,65.9,66.67,66.67,887760
2018-10-05,66.51,68.03,64.6,65.8,65.8,1252643
2018-10-08,65.27,65.89,62.23,63.67,63.67,2357841
2018-10-09,63.8,65.79,62.64,63.29,63.29,1760811
2018-10-10,62.92,63.08,59.67,60.07,60.07,1812843
2018-10-11,59.5,61.09,58.51,59.17,59.17,1919771
2018-10-12,61.44,62.5,60.18,61.61,61.61,1745410
2018-10-15,61.43,61.73,59.6,60.64,60.64,1978105
2018-10-16,62.33,63.36,61.54,63.22,63.22,1832089
2018-10-17,63.7,63.8286,62.0,62.96,62.96,1459356
2018-10-18,62.49,63.58,60.62,61.7,61.7,1675905
2018-10-19,62.37,62.85,57.71,57.82,57.82,2129342
2018-10-22,58.0,59.59,57.53,58.74,58.74,1743555
2018-10-23,57.4,59.82,56.82,59.31,59.31,1629820
2018-10-24,59.47,59.845,55.63,55.7,55.7,2117417
2018-10-25,56.56,57.51,55.5,56.91,56.91,1773367
2018-10-26,55.21,56.75,54.08,55.68,55.68,1756437
2018-10-29,56.87,58.44,53.205,54.19,54.19,3224861
2018-10-30,53.83,54.82,52.55,53.76,53.76,4765392
2018-10-31,56.23,58.27,53.94,54.97,54.97,5212963
2018-11-01,54.83,55.32,52.68,55.15,55.15,2954903
2018-11-02,55.04,57.0,54.79,55.17,55.17,2263400
2018-11-05,55.11,55.17,52.44,53.33,53.33,1584086
2018-11-06,53.12,54.05,51.93,53.01,53.01,1508208
2018-11-07,53.56,58.34,53.5478,57.64,57.64,3361080
2018-11-08,57.6,58.03,54.92,55.55,55.55,1376210
2018-11-09,54.85,55.0,52.78,54.4,54.4,1575947
2018-11-12,54.7,55.36,51.67,53.19,53.19,2034485
2018-11-13,53.24,54.38,52.12,52.55,52.55,2116189
2018-11-14,53.39,54.0,52.66,53.1,53.1,2370797
2018-11-15,53.46,56.11,52.22,55.97,55.97,3195913
2018-11-16,55.37,56.8,54.4,54.92,54.92,3358995
2018-11-19,54.54,55.82,47.87,48.37,48.37,4903997
2018-11-20,45.6,51.0,45.6,49.37,49.37,3862492
2018-11-21,50.55,52.52,50.375,51.8,51.8,2136323
2018-11-23,51.03,53.52,51.03,53.1,53.1,855214
2018-11-26,53.76,54.47,52.8,54.16,54.16,3193608
2018-11-27,53.77,53.775,51.37,52.55,52.55,1752474
2018-11-28,53.61,57.75,53.61,57.44,57.44,2544630
2018-11-29,57.04,59.0395,56.84,58.29,58.29,1493079
2018-11-30,58.75,60.09,58.42,59.43,59.43,1830088
2018-12-03,61.18,61.39,59.35,61.39,61.39,1753653
2018-12-04,60.62,61.26,58.31,58.48,58.48,1659311
2018-12-06,56.89,60.095,56.71,59.88,59.88,2318242
2018-12-07,60.37,61.8,57.15,58.4,58.4,1762765
2018-12-10,57.95,59.98,57.24,58.6,58.6,1194616
2018-12-11,59.64,59.9573,58.23,58.53,58.53,821888
2018-12-12,59.56,62.72,59.43,60.61,60.61,3617487
2018-12-13,60.79,61.41,60.08,61.17,61.17,2478871
2018-12-14,60.0,61.06,58.89,59.86,59.86,1622068
2018-12-17,59.25,59.59,55.27,55.91,55.91,2604250
2018-12-18,56.59,57.4899,54.72,55.42,55.42,2684377
2018-12-19,55.41,57.91,55.15,55.81,55.81,1698449
2018-12-20,55.24,56.2624,51.41,53.64,53.64,1881719
2018-12-21,53.87,54.07,50.62,51.25,51.25,1680956
2018-12-24,50.27,52.98,50.05,51.51,51.51,763568
2018-12-26,52.0,56.13,52.0,56.03,56.03,1420281
2018-12-27,55.0,56.87,54.29,56.87,56.87,1119763
2018-12-28,57.13,58.36,55.67,57.25,57.25,954226
2018-12-31,58.05,58.61,57.24,58.37,58.37,921132
2019-01-02,57.04,57.93,56.05,57.59,57.59,1641456
2019-01-03,56.48,57.3,55.33,55.54,55.54,1548299
2019-01-04,56.8,59.405,56.5185,58.22,58.22,1876015
2019-01-07,59.38,62.23,58.7,61.28,61.28,2087844
2019-01-08,62.5,63.71,61.145,63.25,63.25,2164595
2019-01-09,63.68,63.84,62.3844,62.56,62.56,1413767
2019-01-10,61.66,63.525,61.3667,62.96,62.96,712745
2019-01-11,62.75,63.54,62.17,62.45,62.45,750601
2019-01-14,61.32,62.13,61.0,61.55,61.55,1252282
2019-01-15,61.58,63.75,61.57,63.01,63.01,1845943
2019-01-16,63.57,64.84,62.51,62.94,62.94,1530753
2019-01-17,63.11,64.39,62.75,63.71,63.71,1344410
2019-01-18,64.75,65.63,63.92,65.03,65.03,1780202
2019-01-22,64.58,64.645,63.41,64.04,64.04,1681980
2019-01-23,64.77,66.82,63.8,64.4,64.4,1495873
2019-01-24,64.37,65.165,63.8,64.52,64.52,2541145
2019-01-25,65.26,66.0275,64.6,65.79,65.79,955128
2019-01-28,65.17,66.09,64.4,65.91,65.91,1403772
2019-01-29,65.97,66.085,64.56,64.63,64.63,749661
2019-01-30,65.4,66.31,64.895,65.93,65.93,1847735
2019-01-31,66.55,68.5521,66.49,67.53,67.53,2204393
2019-02-01,67.44,69.2,67.32,69.08,69.08,2093359
2019-02-04,69.47,70.49,68.8376,68.99,68.99,2483991
2019-02-05,69.3,69.445,68.08,68.6,68.6,3379577
2019-02-06,78.0,78.85,71.01,72.4,72.4,9472324
2019-02-07,71.34,73.43,69.87,73.27,73.27,3060415
2019-02-08,72.7,76.41,72.25,76.38,76.38,3164451
2019-02-11,77.04,78.41,75.84,76.79,76.79,2007238
2019-02-12,77.84,78.7443,76.98,78.47,78.47,1715423
2019-02-13,79.0,79.83,77.29,77.49,77.49,1488803
2019-02-14,77.35,79.16,76.14,78.97,78.97,2282231
2019-02-15,79.15,79.3063,77.39,78.73,78.73,1307502
2019-02-19,78.32,79.08,77.2,78.07,78.07,1643959
2019-02-20,78.06,79.72,76.96,77.16,77.16,2999313
2019-02-21,76.58,77.22,75.66,77.06,77.06,1628466
2019-02-22,77.4,78.8408,77.3317,78.84,78.84,1212112
2019-02-25,79.72,80.23,78.91,79.06,79.06,2023503
2019-02-26,78.73,79.63,78.075,79.17,79.17,1198503
2019-02-27,79.22,79.85,78.565,79.32,79.32,1143779
2019-02-28,79.27,80.25,78.61,79.02,79.02,2736073
2019-03-01,80.0,80.63,79.14,80.27,80.27,1849316
2019-03-04,80.73,80.98,74.61,77.01,77.01,3708473
2019-03-05,76.83,77.49,75.52,77.04,77.04,1915238
2019-03-06,76.63,77.375,74.9,75.21,75.21,1953302
2019-03-07,75.01,77.02,74.18,75.92,75.92,2146420
2019-03-08,74.5,77.23,73.84,77.2,77.2,1373118
2019-03-11,77.43,80.4,77.39,79.21,79.21,2473415
2019-03-12,79.59,81.49,78.42,81.4,81.4,2268478
2019-03-13,81.61,82.92,81.2186,81.7,81.7,3343321
2019-03-14,81.79,83.83,81.26,82.96,82.96,1455415
2019-03-15,82.73,83.59,82.05,82.6,82.6,1955088
2019-03-18,82.6,83.5,81.2974,82.92,82.92,1979243
2019-03-19,83.41,84.56,82.51,83.88,83.88,1534512
2019-03-20,83.54,84.95,82.77,84.02,84.02,1545096
2019-03-21,83.8,86.13,83.785,85.64,85.64,1324992
2019-03-22,84.94,85.0,81.8326,82.82,82.82,1590277
2019-03-25,82.11,83.16,81.325,82.72,82.72,2026239
2019-03-26,83.93,84.87,83.2001,84.18,84.18,1025190
2019-03-27,84.27,84.5,80.91,82.41,82.41,1361417
2019-03-28,82.77,83.6803,81.86,83.32,83.32,826326
2019-03-29,84.13,85.5,83.416,85.0,85.0,1002112
2019-04-01,86.01,86.479,83.66,85.33,85.33,1119081
2019-04-02,85.38,86.485,84.55,86.27,86.27,886782
2019-04-03,86.58,86.85,85.26,85.43,85.43,1146060
2019-04-04,85.48,85.69,80.15,82.1,82.1,2008527
2019-04-05,82.53,82.89,81.12,81.71,81.71,1797124
2019-04-08,81.55,82.28,79.7,81.79,81.79,965076
2019-04-09,81.2,83.06,81.2,82.6,82.6,1225110
2019-04-10,83.09,84.91,82.63,83.34,83.34,1597257
2019-04-11,83.43,84.0152,82.64,83.89,83.89,1053665
2019-04-12,84.48,84.51,82.4,83.2,83.2,590325
2019-04-15,83.0,84.12,82.7,83.22,83.22,1439231
2019-04-16,83.66,83.88,81.31,81.97,81.97,1544159
2019-04-17,82.09,82.55,79.26,80.7,80.7,1821872
2019-04-18,80.0,81.21,78.43,80.9,80.9,1484317
2019-04-22,80.87,82.71,80.255,82.58,82.58,769337
2019-04-23,82.92,83.8743,82.81,83.48,83.48,1211840
2019-04-24,84.35,84.84,82.67,82.96,82.96,2300561
2019-04-25,84.01,86.09,83.25,84.53,84.53,1756042
2019-04-26,84.69,86.04,84.21,85.77,85.77,1035693
2019-04-29,86.44,87.725,86.0,87.55,87.55,2065088
2019-04-30,87.49,87.92,86.0001,87.78,87.78,2122595
2019-05-01,85.25,85.92,83.485,84.77,84.77,3913033
2019-05-02,84.65,84.96,81.61,83.65,83.65,2015860
2019-05-03,84.47,87.09,83.4,86.95,86.95,1888221
2019-05-06,84.64,87.89,83.52,87.81,87.81,2122149
2019-05-07,86.96,87.31,83.93,85.25,85.25,1914543
2019-05-08,85.05,86.57,84.54,86.18,86.18,858731
2019-05-09,85.27,87.74,84.385,87.26,87.26,1572302
2019-05-10,86.75,89.07,85.5643,88.58,88.58,1178216
2019-05-13,86.22,86.22,82.24,83.89,83.89,1882377
2019-05-14,84.68,85.95,83.66,85.49,85.49,1573720
2019-05-15,84.24,87.36,84.23,86.67,86.67,1601299
2019-05-16,87.09,90.0,87.03,89.0,89.0,1519903
2019-05-17,88.16,89.595,87.55,87.96,87.96,920665
2019-05-20,86.51,87.89,85.21,87.32,87.32,1520932
2019-05-21,88.29,89.965,87.63,88.18,88.18,931987
2019-05-22,87.65,90.0,87.48,89.01,89.01,766135
2019-05-23,88.21,88.23,85.81,86.66,86.66,1343760
