,open,high,low,close,adjusted close,volume
2018-07-23,190.68,191.96,189.56,191.61,190.2721,15989365
2018-07-24,192.45,193.6601,192.05,193.0,191.6524,18697898
2018-07-25,193.0602,194.85,192.43,194.82,193.4597,16826483
2018-07-26,194.61,195.96,193.61,194.21,192.854,19075964
2018-07-27,194.99,195.19,190.1,190.98,189.6465,24023972
2018-07-30,191.9,192.2,189.07,189.91,188.584,21029535
2018-07-31,190.3,192.14,189.34,190.29,188.9614,39373038
2018-08-01,199.13,201.76,197.31,201.5,200.0931,67935716
2018-08-02,200.58,208.38,200.35,207.39,205.942,62404012
2018-08-03,207.03,208.74,205.4803,207.99,206.5378,33447396
2018-08-06,208.0,209.25,207.07,209.07,207.6102,25425387
2018-08-07,209.32,209.5,206.76,207.11,205.6639,25587387
2018-08-08,206.05,207.81,204.52,207.25,205.8029,22525487
2018-08-09,207.28,209.78,207.2,208.88,207.4216,23492626
2018-08-10,207.36,209.1,206.67,207.53,206.8059,24611202
2018-08-13,207.7,210.952,207.7,208.87,208.1412,25890880
2018-08-14,210.155,210.56,208.26,209.75,209.0182,20748010
2018-08-15,209.22,210.74,208.33,210.24,209.5064,28807564
2018-08-16,211.75,213.8121,211.47,213.32,212.5757,28500367
2018-08-17,213.44,217.95,213.16,217.58,216.8208,35426997
2018-08-20,218.1,219.18,215.11,215.46,214.7082,30287695
2018-08-21,216.8,217.19,214.025,215.04,214.2897,26159755
2018-08-22,214.1,216.36,213.84,215.05,214.2997,19018131
2018-08-23,214.65,217.05,214.6,215.49,214.7381,18883224
2018-08-24,216.6,216.9,215.11,216.16,215.4058,18476356
2018-08-27,217.15,218.74,216.33,217.94,217.1796,20525117
2018-08-28,219.01,220.54,218.92,219.7,218.9334,22776766
2018-08-29,220.15,223.49,219.41,222.98,222.202,27254804
2018-08-30,223.25,228.26,222.4,225.03,224.2448,48793824
2018-08-31,226.51,228.87,226.0,227.63,226.8358,43340134
2018-09-04,228.41,229.18,226.63,228.36,227.5632,27390132
2018-09-05,228.99,229.67,225.1,226.87,226.0784,33332960
2018-09-06,226.23,227.35,221.3,223.1,222.3216,34289976
2018-09-07,221.85,225.37,220.71,221.3,220.5279,37619810
2018-09-10,220.95,221.85,216.47,218.33,217.5682,39516453
2018-09-11,218.01,224.299,216.56,223.85,223.06900000000002,35749049
2018-09-12,224.94,225.0,219.84,221.07,220.2987,49278740
2018-09-13,223.52,228.35,222.57,226.41,225.62,41706377
2018-09-14,225.75,226.84,222.52200000000002,223.84,223.05900000000003,31999289
2018-09-17,222.15,222.95,217.27,217.88,217.1198,37195133
2018-09-18,217.79,221.85,217.12,218.24,217.4785,31571712
2018-09-19,218.5,219.62,215.3,218.37,217.6081,27123833
2018-09-20,220.24,222.28,219.15,220.03,219.2623,26608794
2018-09-21,220.78,221.36,217.29,217.66,216.9006,96246748
2018-09-24,216.82,221.26,216.63,220.79,220.0196,27693358
2018-09-25,219.75,222.82,219.7,222.19,221.4147,24554379
2018-09-26,221.0,223.75,219.76,220.42,219.6509,23984706
2018-09-27,223.82,226.44,223.54,224.95,224.1651,30181227
2018-09-28,224.79,225.84,224.02,225.74,224.9524,22929364
2018-10-01,227.95,229.42,226.35,227.26,226.4671,23600802
2018-10-02,227.25,230.0,226.63,229.28,228.48,24788170
2018-10-03,230.05,233.47,229.78,232.07,231.2603,28654799
2018-10-04,230.78,232.35,226.73,227.99,227.1945,32042000
2018-10-05,227.96,228.41,220.58,224.29,223.5074,33580463
2018-10-08,222.21,224.8,220.2,223.77,222.9892,29663923
2018-10-09,223.64,227.27,222.2462,226.87,226.0784,26891029
2018-10-10,225.46,226.35,216.05,216.36,215.6051,41990554
2018-10-11,214.52,219.5,212.32,214.45,213.7018,53124392
2018-10-12,220.42,222.88,216.84,222.11,221.335,40337851
2018-10-15,221.16,221.83,217.27,217.36,216.6016,30791007
2018-10-16,218.93,222.99,216.7627,222.15,221.3749,29183963
2018-10-17,222.3,222.64,219.34,221.19,220.4182,22885397
2018-10-18,217.86,219.74,213.0,216.02,215.2663,32581315
2018-10-19,218.06,221.26,217.43,219.31,218.5448,33078726
2018-10-22,219.79,223.36,218.94,220.65,219.8801,28792082
2018-10-23,215.83,223.25,214.7,222.73,221.9529,38767846
2018-10-24,222.6,224.23,214.54,215.09,214.3395,40925163
2018-10-25,217.71,221.38,216.75,219.8,219.0331,29855768
2018-10-26,215.9,220.19,212.67,216.3,215.5453,47258375
2018-10-29,219.19,219.69,206.09,212.24,211.4995,45935520
2018-10-30,211.15,215.18,209.27,213.3,212.5558,36659990
2018-10-31,216.88,220.45,216.62,218.86,218.0964,38358933
2018-11-01,219.05,222.36,216.81,222.22,221.4446,58323180
2018-11-02,209.55,213.65,205.43,207.48,206.7561,91328654
2018-11-05,204.3,204.39,198.17,201.59,200.8866,66163669
2018-11-06,201.92,204.72,201.69,203.77,203.05900000000003,31882881
2018-11-07,205.97,210.06,204.13,209.95,209.2175,33424434
2018-11-08,209.98,210.12,206.75,208.49,208.49,25362636
2018-11-09,205.55,206.01,202.25,204.47,204.47,34365750
2018-11-12,199.0,199.85,193.79,194.17,194.17,51135518
2018-11-13,191.63,197.18,191.4501,192.23,192.23,46882936
2018-11-14,193.9,194.48,185.93,186.8,186.8,60800957
2018-11-15,188.39,191.97,186.9,191.41,191.41,46478801
2018-11-16,190.5,194.9695,189.46,193.53,193.53,36928253
2018-11-19,190.0,190.7,184.99,185.86,185.86,41920872
2018-11-20,178.37,181.47,175.51,176.98,176.98,67825247
2018-11-21,179.73,180.27,176.55,176.78,176.78,31124210
2018-11-23,174.94,176.595,172.1,172.29,172.29,23623972
2018-11-26,174.24,174.95,170.26,174.62,174.62,44998520
2018-11-27,171.51,174.77,170.88,174.24,174.24,41387377
2018-11-28,176.73,181.29,174.93,180.94,180.94,46062539
2018-11-29,182.66,182.8,177.7,179.55,179.55,41769992
2018-11-30,180.29,180.33,177.03,178.58,178.58,39531549
2018-12-03,184.46,184.94,181.21,184.82,184.82,40798002
2018-12-04,180.95,182.3899,176.27,176.69,176.69,41344282
2018-12-06,171.76,174.78,170.42,174.72,174.72,43098410
2018-12-07,173.49,174.49,168.3,168.49,168.49,42281631
2018-12-10,165.0,170.09,163.33,169.6,169.6,62025994
2018-12-11,171.66,171.79,167.0,168.63,168.63,47281665
2018-12-12,170.4,171.92,169.02,169.1,169.1,35627674
2018-12-13,170.49,172.57,169.55,170.95,170.95,31897827
2018-12-14,169.0,169.08,165.28,165.48,165.48,40703710
2018-12-17,165.45,168.35,162.73,163.94,163.94,44287922
2018-12-18,165.38,167.53,164.39,166.07,166.07,33841518
2018-12-19,166.0,167.45,159.09,160.89,160.89,49047297
2018-12-20,160.4,162.11,155.3,156.83,156.83,64772960
2018-12-21,156.86,158.16,149.63,150.73,150.73,95744384
2018-12-24,148.15,151.55,146.59,146.83,146.83,37169232
2018-12-26,148.3,157.23,146.72,157.17,157.17,58582544
2018-12-27,155.84,156.77,150.07,156.15,156.15,53117065
2018-12-28,157.5,158.52,154.55,156.23,156.23,42291424
2018-12-31,158.53,159.36,156.48,157.74,157.74,35003466
2019-01-02,154.89,158.85,154.23,157.92,157.92,37039737
2019-01-03,143.98,145.72,142.0,142.19,142.19,91312195
2019-01-04,144.53,148.5499,143.8,148.26,148.26,58607070
2019-01-07,148.7,148.83,145.9,147.93,147.93,54777764
2019-01-08,149.56,151.82,148.52,150.75,150.75,41025314
2019-01-09,151.29,154.53,149.63,153.31,153.31,45099081
2019-01-10,152.5,153.97,150.86,153.8,153.8,35780670
2019-01-11,152.88,153.7,151.51,152.29,152.29,27023241
2019-01-14,150.85,151.27,149.22,150.0,150.0,32439186
2019-01-15,150.27,153.39,150.05,153.07,153.07,28710324
2019-01-16,153.08,155.88,153.0,154.94,154.94,30569706
2019-01-17,154.2,157.66,153.26,155.86,155.86,29614001
